sigma_noise,c_plast,evolvable_plastic,replicate,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
0.0,0.0,False,0,900.0,2.6887037037037036,0.8257098468950219,0.0,0.0,0.13709004342459088,0.09763997309222076,0.3877432077073031
0.0,0.0,False,1,900.0,2.619074074074074,0.8630994852374941,0.0,0.0,0.13565651749523733,0.10316761611864574,0.40801674210509525
0.0,0.0,False,2,900.0,2.437037037037037,0.8495567381512282,0.0,0.0,0.13428126114615277,0.07825758324027336,0.350999980852211
0.0,0.0,False,3,900.0,2.6901851851851855,0.8284026004759272,0.0,0.0,0.13607458136833797,0.09477646728488966,0.3844027029852244
0.0,0.0,True,0,900.0,2.6077777777777778,0.8694051311270289,1.5697113850216,0.8647496506809834,0.1336233135763083,0.09960019014228216,0.4082995868771459
0.0,0.0,True,1,900.0,2.8548148148148145,0.8535002370435993,1.694774787876809,1.0217783098209778,0.1264281132111341,0.08702595574969176,0.41036050666207474
0.0,0.0,True,2,900.0,2.6666666666666665,0.9455721379916783,1.4082077318530046,1.0439830216702564,0.12963973012204907,0.09535727955305588,0.41691423666802135
0.0,0.0,True,3,900.0,2.6101851851851854,0.8763700718048444,1.2530347017862287,0.9505908361758832,0.13442297476170734,0.09794624182258664,0.4011477233646464
0.0,0.05,True,0,900.0,2.8251851851851852,0.7507021723596526,0.9269667016440616,0.7716476325171743,0.13178155981318176,0.09188336492031425,0.3991729657152984
0.0,0.05,True,1,900.0,2.6546296296296297,0.885606090215895,0.6009970907268222,0.503572731480747,0.13326404674035194,0.09464126988730825,0.3987993898364581
0.0,0.05,True,2,900.0,2.6462962962962964,0.870075544478242,1.0152861603188403,0.9693972091313654,0.12942603667671213,0.1014635441736675,0.43153951859633094
0.0,0.05,True,3,900.0,2.4035185185185184,0.8717773048797454,0.9641136871794157,0.7154458647016969,0.13631615664132804,0.1047273435744732,0.4093434200724924
0.0,0.1,True,0,900.0,2.5390740740740743,0.9238226093019782,1.2794739970776368,0.8794072284249504,0.13356739930918418,0.10630115195098634,0.42442951586691335
0.0,0.1,True,1,900.0,2.579074074074074,0.9017861012110489,0.9402475590056536,0.7067358755072489,0.12871727347716458,0.08581995275591602,0.39686696186091747
0.0,0.1,True,2,900.0,2.4975925925925924,0.8442076141127548,0.6380573912152756,0.6005195779098265,0.131939824742485,0.09741410372704629,0.4108233701823214
0.0,0.1,True,3,900.0,2.496111111111111,0.7559266083705084,0.8050636552151714,0.7499776669377662,0.13274434089369608,0.09964000016846997,0.41214691731374753
0.0,0.2,True,0,900.0,2.6377777777777776,0.9068894015880766,0.5229364635107192,0.4833691751725479,0.1344706660722814,0.08889170917345961,0.37717869273226895
0.0,0.2,True,1,900.0,2.6375925925925925,0.8451740839616808,0.6306901455199417,0.5188151349851602,0.13109520635718788,0.09569541170372531,0.41054989769736855
0.0,0.2,True,2,900.0,2.546851851851852,0.8207541474107195,0.43460801638415597,0.41490689091154714,0.13339913130973066,0.09121469539492104,0.38745452566562394
0.0,0.2,True,3,900.0,2.617777777777778,0.8755394289850793,0.6018987799450447,0.5562798829324362,0.13184657073978182,0.09123078076602187,0.39724705444439995
0.2,0.0,True,0,900.0,2.6127777777777776,0.785002751819808,1.5490511936603912,1.0522323614427627,0.12876763708576414,0.09490339743440766,0.42019858208998856
0.2,0.0,True,1,900.0,2.783703703703704,1.0412997160856243,1.4489303661333313,1.0890215025216154,0.12868547919884984,0.09511454591403874,0.4197898239470046
0.2,0.0,True,2,900.0,2.562962962962963,0.7639412135564204,1.3004185235938925,0.9774431879417862,0.13071066143978327,0.09920059111261688,0.4198807467329831
0.2,0.0,True,3,900.0,2.6416666666666666,0.8591389258848013,1.8591188404116714,1.5374703509970005,0.12682639819126315,0.09951153463459893,0.44015808666811723
0.5,0.0,True,0,900.0,2.7203703703703703,1.0431138692535908,1.1801764872051046,0.8130899414458659,0.13038896498486718,0.1034731934111695,0.43212311401213394
0.5,0.0,True,1,900.0,2.7955555555555556,0.8649488350271334,1.7289077303389089,1.37245039586851,0.1322625330687469,0.10077147849757749,0.41668567278980434
0.5,0.0,True,2,900.0,2.781111111111111,0.9933826277718515,1.3105910745264178,1.0586679457480306,0.13148355431320485,0.10465764747483425,0.43069688934227135
0.5,0.0,True,3,900.0,2.4655555555555555,0.7687920630593834,1.0689631865173153,0.9078780309501231,0.13128733543732857,0.10074637021004978,0.4221508610759805
1.0,0.0,True,0,900.0,2.9685185185185183,1.0791459629172804,1.468477769894993,1.1500507109690434,0.12889583559380507,0.09841083943196745,0.42600263463553395
1.0,0.0,True,1,900.0,2.91462962962963,1.0013796445323215,1.1612488639810485,1.1018085367806758,0.12928801225964934,0.09929320344988017,0.4271223953358873
1.0,0.0,True,2,900.0,2.895925925925926,0.9019569060374835,1.0728657819047005,1.0926137422005222,0.12823114550550882,0.08873558336381594,0.4066912024857188
1.0,0.0,True,3,900.0,2.6437037037037037,1.092617434607838,1.42864349015386,1.3502575550035312,0.1333654491268986,0.09349740120103077,0.39537726250868466
