population,correlation,maladaptation,trait_variance,lineage_richness,fst,moran_i,dispersal,replicate
1517,0.9947445020545962,0.09077446642709314,0.013855609449748969,90,0.017389829743715536,5.712249364819234,1,0
1521,0.9959931588843333,0.0792813181886484,0.010004550428249648,104,0.014417992753804192,5.81439426278494,1,1
1523,0.996476677465677,0.08023543580225238,0.010166817995841565,87,0.01789993855599245,4.420924807464928,1,2
1526,0.9960663912047516,0.08341328488513002,0.0127354734191196,105,0.015199616318637142,4.407741935483871,1,3
1540,0.996322400762422,0.07806730569663677,0.009869083603733115,105,0.014041462957094844,4.987012987012988,1,4
1525,0.9934499172407896,0.0810321029670733,0.009993770524068638,107,0.018332682867905212,5.3079239134285015,1,5
1532,0.9945650270286021,0.08416089086973179,0.011344756683932776,89,0.019265167159973503,5.324025596276905,1,6
1503,0.9949024671992907,0.07910896731456694,0.009684511404108585,100,0.016517114672475693,5.091332169866201,1,7
1529,0.9966231997300984,0.08143114866595429,0.010733632939591958,86,0.018486859326066196,4.6146448087431695,1,8
1519,0.9949063496348132,0.08423134266472435,0.010535612403023371,76,0.017738669778021163,4.631912068039897,1,9
1511,0.9975390642231027,0.07867469577509288,0.009559435259102609,80,0.0186423016183829,2.6452476572958497,2,0
1509,0.9936678448537727,0.08825766215983985,0.011674119955403213,78,0.022436362597069246,3.5988455988455983,2,1
1515,0.9975577719932582,0.07477670105687191,0.009058079077383903,81,0.021862519833360978,3.199498976834961,2,2
1521,0.9973801897677412,0.07693463193690442,0.009515029731029339,80,0.021350699772683793,3.524243680066308,2,3
1516,0.997104189760604,0.08231500263589933,0.010403726203444395,74,0.02557191485724398,4.25137278828554,2,4
1519,0.9971771270270472,0.07936992256240315,0.009239442417834746,66,0.024238777775435354,3.506600227292596,2,5
1520,0.9949265271486991,0.08487667711206817,0.012159356487642154,69,0.030850502132196013,4.582833803964309,2,6
1509,0.9959191143870395,0.08403558972632369,0.010921345732081896,79,0.020027396314434138,3.4560381870406434,2,7
1507,0.9959756215054621,0.07992573856597462,0.010261778690231975,73,0.021093015221273756,4.674098536536302,2,8
1514,0.9972542882834023,0.0774138339096792,0.009802643355013763,73,0.023403726805867314,3.129588767759742,2,9
1508,0.9940686743812562,0.09215733286309151,0.01270777536389688,59,0.024243729687585647,2.227688707498154,4,0
1513,0.9958962726938508,0.09230924225543718,0.012987129375845067,62,0.031074588233873542,1.9214312658296064,4,1
1513,0.9946012965101031,0.09633622464316406,0.016090506584219528,64,0.032560679414794964,1.9089655172413793,4,2
1508,0.9948682602813431,0.08934052169277197,0.013391456668728069,61,0.0348628597806878,2.164507150398311,4,3
1507,0.9962297296351676,0.09405595746871039,0.014712427908478607,69,0.024182231512250477,1.987493987493987,4,4
1501,0.9945439674387547,0.1022183117277518,0.015717795432065494,62,0.022050530558391894,1.6368393511250652,4,5
1510,0.9969177689246727,0.09744224947794171,0.015105249094132378,71,0.02275899300481633,1.7773614872431833,4,6
1533,0.9957752771818803,0.09237464582316783,0.012878687176257172,75,0.020421350366211687,2.242395818232982,4,7
1499,0.994478543396662,0.0973951176974212,0.01473949015287139,71,0.022905270775932428,1.3968780218262191,4,8
1503,0.9947370052329784,0.09049025938496327,0.01235022251992378,77,0.021408685158299287,2.353122748086405,4,9
1506,0.9890983093778463,0.12896998230519602,0.026869477233182348,68,0.01950164249735283,0.8064459094238587,8,0
1513,0.9870542423613954,0.13008912017208857,0.025685362200878047,71,0.022127433046955577,0.8820005022781906,8,1
1509,0.9848089419103825,0.14519039321761334,0.030788804192219594,72,0.015526863392351962,0.8735985255721087,8,2
1522,0.9903907866645587,0.13235323574206356,0.027282025097859496,63,0.026952640851957043,0.7760919540229885,8,3
1503,0.9930862332130052,0.13204067201156267,0.0278774408371244,78,0.020209245004573943,1.2146224885372021,8,4
1498,0.9892823471572612,0.13295783732718852,0.026574971298689437,59,0.021126937351354604,0.7213133282472945,8,5
1516,0.9906841748166122,0.1268672378828391,0.024142485441863048,75,0.016315246883089544,0.24880959556385998,8,6
1513,0.9853658694738603,0.13380804448221,0.02810372787134239,69,0.031762424467787445,0.9531028661448906,8,7
1505,0.9912246257971825,0.13201718896694742,0.0258176980044319,60,0.021350856795092635,0.4347158218125959,8,8
1508,0.9874875098307365,0.13311532059820416,0.025383443003593076,69,0.020602446479741115,0.7416313582821269,8,9
